location_id,year,month,context,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_or_more,total
3205309,2021,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,150.0,500.0,0.0,500.0,115.0
3205309,2021,2,1,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,5
3205309,2021,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3
3205309,2021,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3205309,2021,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,60.0
3205309,2021,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3205309,2021,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3205309,2021,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3205309,2021,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3304557,2020,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3304557,2020,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3304557,2020,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3304557,2020,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3304557,2020,3,1,15,7,2,3,8,24,48,78,73,96,89,120,117,120,111,67,176,1154
3304557,2020,3,2,1,1,0,0,0,3,2,2,2,4,3,8,11,14,10,6,17,84
3304557,2020,3,3,11,6,2,2,5,17,26,40,42,51,45,66,74,76,70,49,118,700
3304557,2020,3,4,6.666666666666667,14.285714285714286,0.0,0.0,0.0,12.5,4.166666666666667,2.5641025641025643,2.73972602739726,4.166666666666667,3.3707865168539324,6.666666666666667,9.401709401709402,11.666666666666666,9.00900900900901,8.955223880597014,9.659090909090908,7.279029462738301
3304557,2020,4,1,43,17,19,21,59,123,215,408,565,632,691,790,832,957,908,701,1461,8442
3304557,2020,4,2,4,1,1,4,10,23,30,59,102,139,147,209,271,287,331,274,632,2524
3304557,2020,4,3,48,20,26,19,58,114,209,369,507,558,615,683,688,756,703,555,1128,7056
